category,risk_ids,mean_m,std_m,p05_m,p95_m,p_loss
Regulatory,"R3, R23, R15, R14",119.94533399236677,101.70159320649648,-71.73704115413449,262.89017529511494,0.1344
Market,"R19, R20, R18, R22",140.37552585245422,82.03139868832784,-2.144040643311872,268.62322458339736,0.0591
Strategic,"R2, R1, R13, R17, R4",-264.9739121186269,95.54416327776032,-417.31016342010633,-98.0750969378343,0.9967
Financial,"R5, R16",-84.5382520164906,81.11869332460886,-217.7673515414883,0.0,0.745
Operational,"R6, R8, R9, R11, R21",-37.679185516667836,20.636544680472177,-73.21250781316462,-1.9710657685287805,0.9549
Technical,"R7, R10, R12, R24, R25",-36.80976419019403,20.249961221696466,-71.63767846478179,-4.410864567303393,0.9551
